TmID;JerseyName;FullName;BirthDate;BirthPlace;Height;PrimPosition;Foot;Outfitter;NumGames;NumGoals;NumIntGames;NumIntGoals
57307;Caprile;Emilio Caprile;1928-09-30;Genova;1,70 m;;;;0;0;2;2
96022;Schäfer;Hans Schäfer;1927-10-19;Köln-Zollstock;N/A;Attacking Midfield;N/A;;0;0;40;15
96554;Beyer;Harald Beyer;1939-09-21;Braunlage;;Centre-Forward;N/A;;0;0;0;0
97388;Jansen;Albert Jansen;1936-11-03;;;;;;0;0;0;0
99708;Jusufi;Фахрудин Јусуфи;1939-12-08;Dragaš;N/A;Right-Back;N/A;;0;0;56;5
99711;Kraus;Helmut Kraus;1938-11-16;Hirschaid;N/A;Second Striker;N/A;;0;0;0;0
109443;Schwager;Dietmar Schwager;1940-08-15;;N/A;Sweeper;N/A;;0;0;0;0
135633;Jongbloed;Jan Jongbloed;1940-11-25;Amsterdam;1,79 m;Goalkeeper;;;0;0;24;0
154238;Veldhoen;Cor Pleun Veldhoen;1939-04-06;Rotterdam;;Left-Back;right;;0;0;27;0
169281;Polychroniou;Κωνσταντίνος Πολυχρονίου;1936-11-12;Platanistos;;Central Midfield;;;0;0;27;0
170710;Marquitos;Marcos Alonso Imaz;1933-04-16;Santander;;Right-Back;right;;0;0;2;0
176222;Gregg;Henry Gregg;1932-10-25;Magherafelt;1,83 m;Goalkeeper;;;0;0;25;0
176274;Gaskell;John David Gaskell;1940-10-05;Orrell;1,78 m;Goalkeeper;;;0;0;0;0
176295;Connelly;John Michael Connelly;1938-07-18;St Helens;1,73 m;Right Winger;right;;0;0;20;7
182004;Karlsson;Jan Karlsson;1940-12-04;;;;;;0;0;28;1
187048;Smit;Cornelis J.V. Smit;1940-02-25;;;;;;0;0;0;0
193638;Ganzer;Gianfranco Ganzer;1930-03-29;Tarvisio;1,80 m;;;;0;0;0;0
215713;Vojta;Josef Vojta;1935-04-19;Pilsen;;;;;0;0;0;0
215723;Vidinic;Blagoje Vidinić;1934-06-11;Skopje;N/A;Goalkeeper;;;0;0;3;0
216053;Fenyvesi;Máté Fenyvesi;1933-09-19;Jánoshalma;;Left Winger;both;;0;0;76;8
216067;Sipos;Ferenc Sipos;1932-12-13;Budapest;1,80 m;Centre-Back;right;;0;0;77;1
236039;Aubour;Marcel Aubour;1940-06-17;Saint-Tropez;1,80 m;Goalkeeper;right;;0;0;20;0
237710;Peacock;Alan Peacock;1937-10-29;Middlesbrough;;;;;0;0;6;3
237723;Amarildo;Amarildo Tavares da Silveira;1939-06-29;Campos dos Goytacazes;1,69 m;Centre-Forward;;;0;0;23;7
237768;Vladica Kovacevic;Bлaдимиp Koвaчeвић Bлaдицa;1940-01-07;Ivanjica;N/A;;;;0;0;13;2
237814;Stojanović;Mirko Stojanović;1939-06-11;Zagreb;1,83 m;Goalkeeper;;;0;0;0;0
245309;João;Mário João;1935-06-06;Barreiro;;Right-Back;right;;0;0;3;0
245359;Tagnin;Carlo Tagnin;1932-11-18;Valle San Bartolomeo;1,75 m;Central Midfield;;;0;0;0;0
247059;Dvorak;Milan Dvořák;1934-11-19;Prag;;;;;0;0;13;3
247425;Baird;Stuart Samuel Baird;1930-05-13;Denny;;Left Midfield;left;;0;0;7;2
247859;Cappello;Gino Cappello;1920-06-02;Padova;1,72 m;Centre-Forward;right;;0;0;11;3
248795;Gonzalvo II;José Gonzalvo Falcón;1920-01-16;Mollet del Vallès;;;;;0;0;8;0
249235;Giovannini;Attilio Giovannini;1924-07-30;San Michele Extra;;Defensive Midfield;;;0;0;0;0
250918;Castelletti;Sergio Castelletti;1937-12-30;Casale Monferrato;N/A;Left-Back;;;0;0;7;0
250948;Pizzaballa;Pierluigi Pizzaballa;1939-09-14;Bergamo;1,75 m;Goalkeeper;;;0;0;0;0
250951;Rimbaldo;Claudio Rimbaldo;1932-11-13;Pola;;Defensive Midfield;;;0;0;0;0
251095;Marchi;Anthony Vittorio Marchi;1933-02-21;Edmonton;;Central Midfield;;;0;0;0;0
289694;Bizzarri;Claudio Bizzarri;1933-12-21;Civitanova Marche;1,72 m;Left Winger;;;0;0;0;0
299337;Stuart;Edward Albert Stuart;1931-05-12;Middelburg, Eastern Cape;;Right-Back;right;;0;0;0;0
302229;Tatono;José Antonio García Conesa;1940-05-05;;;;;;0;0;0;0
305340;Nielsen;Villy Nielsen;1935-08-15;;;;;;0;0;0;0
306917;Bacci;Giancarlo Bacci;1931-06-17;Peretola;1,80 m;Centre-Forward;;;0;0;3;1
307956;Blomqvist;Karl-Axel Blomqvist;1938-11-22;;;;;;0;0;0;0
324529;Charnley;Raymond Ogden Charnley;1939-05-29;Lancaster;1,88 m;;;;0;0;1;0
348183;Habermann;Kurt Habermann;1939-01-15;;;Central Midfield;N/A;;0;0;0;0
367776;Antoniotti †;Lelio Antoniotti †;1928-01-17;Bard;1,68 m;;;;0;0;0;0
389068;Bertoloni;Quinto Bertoloni;1927-03-10;Avenza;;Central Midfield;;;0;0;0;0
410921;Porlezza;Carlo Porlezza;1939-12-17;Basel;;Defensive Midfield;;;0;0;0;0
430427;Motta;Enrico Motta;1928-06-18;Lissone;;;;;0;0;0;0
439305;Nayir;Mehmet Resat Nayir;1911-07-13;İstanbul;;;;;0;0;4;0
476927;Gnielka;Horst-Dieter Gnielka;1940-07-27;;;;;;0;0;0;0
496617;Leborgne ✝;Marcel Leborgne ✝;1939-09-09;Carhaix;;;;;0;0;0;0
496618;Maison;Hector Maison;1936-04-20;La Plata;1,65 m;;;;0;0;0;0
514487;Renosto;Mario Renosto;1929-06-15;Trieste;;;;;0;0;0;0
519640;Hansen;Karl Aage Hansen;1921-07-04;Mesinge;;Central Midfield;;;0;0;22;17
523627;Pomati;Giuseppe Pomati;1932-07-23;Codogno;;;;;0;0;0;0
596213;McIlmoyle;Hugh McIlmoyle;1940-01-29;Port Glasgow;;Centre-Forward;;;0;0;0;0
626135;Leek;Kenneth Leek;1935-07-26;Ynysybwl;;Second Striker;;;0;0;13;5
645780;Harland;Stanley Clarence Harland;1940-06-19;Liverpool;;Centre-Back;;;0;0;0;0
677404;Holliday;Edwin Holliday;1939-06-17;Leeds;;Left Winger;;;0;0;3;0
677922;Durie;David George Durie;1931-08-13;Blackpool;;Second Striker;;;0;0;0;0
688692;Sims;David Nigel Sims;1931-08-09;Coton in the Elms;;Goalkeeper;;;0;0;0;0
724003;Bula;Cyprièn Bula;1939-08-30;;;;;;0;0;0;0
729570;Ryden;George Ryden;1940-07-14;;;Centre-Back;;;0;0;0;0
729645;Muñoz;Rubén Muñoz;1939-11-16;;;;;;0;0;0;0
733598;Penconek;Ignacy Penconek;1937-02-01;Warszawa;1,79 m;Goalkeeper;;;0;0;0;0
737280;Curtis;George William Curtis;1939-05-05;Dover;;Centre-Back;;;0;0;0;0
744400;Caloi;Luigi Caloi;1940-06-07;Verona;;;;;0;0;0;0
745499;Jackson;Mike Jackson;1939-08-25;;;Centre-Forward;;;0;0;0;0
746248;Isel;Charles Isel;1936-02-11;;;;;;0;0;0;0
746301;Nowotarski;Casimir Nowotarski;1932-11-26;;;;;;0;0;0;0
746771;Hainey;Billy Hainey;1939-06-16;;;;;;0;0;0;0
790402;Sanderson;Keith Sanderson;1940-10-09;Kingston upon Hull;;;;;0;0;0;0
