PlayerID;Nationality
57307;Italy
80122;Poland
89230;Mozambique
89230;Portugal
96022;Germany
96554;Germany
97069;France
97069;Switzerland
97388;Germany
99708;Kosovo
99708;Serbia
99711;Germany
109443;Germany
110257;Denmark
135587;Poland
135633;Netherlands
154238;Netherlands
160386;Spain
169281;Greece
170710;Spain
176222;Northern Ireland
176274;England
176295;England
176708;England
176708;Ireland
177288;Scotland
182004;Sweden
187048;Netherlands
193638;Italy
215713;Czech Republic
215723;North Macedonia
216053;Hungary
216067;Hungary
222836;Germany
233191;Uruguay
234403;Slovakia
234417;Slovakia
234444;Slovakia
236039;France
236052;France
237710;England
237723;Brazil
237768;Serbia
237814;Croatia
243936;Northern Ireland
243936;Scotland
245248;Spain
245309;Portugal
245359;Italy
246612;Netherlands
247059;Czech Republic
247425;Scotland
247859;Italy
248795;Spain
249235;Italy
250918;Italy
250948;Italy
250951;Italy
251095;England
251095;Italy
251118;Scotland
256232;Poland
266915;France
289694;Italy
290281;Malta
299337;South Africa
300963;Sweden
302229;Spain
302953;Spain
304599;Germany
305340;Denmark
306504;Switzerland
306729;Brazil
306917;Italy
306932;Ireland
307956;Sweden
308991;Paraguay
308991;Spain
314475;Netherlands
324529;England
348183;Germany
351982;Spain
367776;Italy
389068;Italy
410921;Switzerland
413221;Austria
430427;Italy
439305;Turkey
476927;Germany
496617;France
496618;Argentina
514487;Italy
519640;Denmark
523627;Italy
562154;England
596213;Scotland
626135;Wales
627432;Scotland
628929;England
645026;Northern Ireland
645780;England
677404;England
677922;England
682474;Croatia
688692;England
690206;England
716185;England
721525;England
724003;DR Congo
729570;Scotland
729645;Argentina
729646;France
733598;Poland
737280;England
740211;Scotland
744187;Hungary
744400;Italy
745499;Scotland
746248;France
746301;France
746391;France
746771;Scotland
790402;England
