TrainerID;Nationality
3;Netherlands
4;Scotland
7;Belgium
9;Norway
13;Croatia
16;Germany
20;Germany
21;Germany
34;Hungary
40;Spain
44;Germany
49;Germany
50;Germany
62;Germany
65;Germany
76;Germany
81;Germany
83;Netherlands
88;Germany
90;Germany
91;Austria
92;Germany
92;Switzerland
94;Germany
97;Germany
102;Austria
124;Germany
126;Germany
144;Germany
176;Northern Ireland
179;Denmark
181;Germany
185;Germany
201;Germany
203;Germany
206;Bosnia-Herzegovina
213;France
225;Germany
232;Germany
239;Germany
243;Germany
246;Serbia
252;Germany
261;Germany
262;Italy
271;Germany
272;Germany
277;Bulgaria
279;Germany
280;France
296;Germany
302;Germany
304;Germany
315;Germany
325;Germany
327;Germany
328;Germany
347;Germany
348;Germany
349;Germany
356;Germany
425;Germany
431;Germany
435;Germany
440;Germany
448;England
453;England
456;Italy
460;France
461;England
498;France
498;Netherlands
501;Netherlands
502;Netherlands
506;Korea, South
506;Netherlands
514;Italy
518;Italy
525;Italy
528;Italy
534;Switzerland
537;Switzerland
544;France
544;Switzerland
550;Austria
553;Netherlands
556;Denmark
580;Russia
598;England
602;England
606;England
610;England
611;England
614;Scotland
621;Portugal
624;Spain
629;Israel
631;Belgium
634;Italy
642;France
663;Scotland
671;Croatia
672;Germany
689;Germany
693;Italy
706;Belgium
713;Belgium
718;Netherlands
729;Germany
742;Germany
751;Germany
804;Turkey
805;Romania
814;Turkey
829;Germany
832;Germany
839;Netherlands
843;Germany
844;Germany
845;Germany
846;Germany
847;Germany
848;Germany
849;Germany
850;Germany
851;Germany
852;Germany
853;Netherlands
860;Germany
862;Austria
863;Germany
864;Germany
865;Germany
866;Germany
867;Germany
868;Germany
869;Croatia
870;Germany
872;Germany
873;Germany
875;Germany
876;Germany
877;Germany
878;Croatia
879;Germany
880;Hungary
881;Germany
882;Germany
883;Germany
884;France
884;Romania
885;Austria
886;Germany
888;Germany
889;Germany
890;Kosovo
890;Serbia
891;Germany
893;Germany
894;Germany
896;Germany
897;Croatia
898;Serbia
899;Germany
900;Germany
901;Germany
902;Germany
903;Germany
904;Germany
905;Germany
907;Germany
908;Germany
912;Austria
914;Germany
915;Germany
916;Germany
917;Germany
918;Germany
919;Germany
921;Germany
922;Germany
923;Germany
924;Germany
925;Germany
926;Germany
927;Germany
929;Germany
930;Germany
931;Germany
932;Netherlands
934;Germany
935;Germany
936;Germany
937;Germany
938;Germany
939;Germany
940;Germany
944;Germany
945;Germany
947;Germany
948;Germany
949;Germany
950;Germany
952;Turkey
953;Germany
954;Germany
955;Germany
957;Germany
958;Germany
959;Switzerland
963;Switzerland
964;Germany
967;Germany
968;Germany
969;Poland
970;Germany
971;Germany
973;Germany
974;Germany
975;Germany
976;Germany
977;Germany
978;Germany
979;Germany
980;Germany
981;Germany
982;Germany
982;Switzerland
985;Germany
986;Germany
987;Czech Republic
989;Germany
990;Romania
992;Germany
993;Germany
994;Austria
995;Germany
996;Germany
997;Germany
1017;Serbia
1019;Bulgaria
1025;Germany
1027;Germany
1031;Germany
1033;Germany
1034;Germany
1035;Germany
1036;Germany
1043;Poland
1047;Germany
1048;Germany
1050;France
1051;France
1067;Russia
1067;UdSSR
1068;Brazil
1068;Italy
1069;Germany
1079;Croatia
1082;Germany
1099;Belgium
1100;Sweden
1116;Germany
1135;Slovenia
1153;Switzerland
1154;Bosnia-Herzegovina
1154;Greece
1183;Hungary
1186;Czech Republic
1186;Italy
1196;Germany
1199;Germany
1219;Sweden
1222;Czech Republic
1231;Bosnia-Herzegovina
1232;France
1232;Switzerland
1236;France
1237;France
1262;Sweden
1271;Netherlands
1303;Germany
1306;Italy
1320;Romania
1320;Switzerland
1332;Greece
1332;Romania
1337;Czech Republic
1340;Greece
1343;Netherlands
1355;Germany
1406;Germany
1407;Germany
1426;Netherlands
1437;Bosnia-Herzegovina
1448;Germany
1449;Germany
1451;Denmark
1491;Lithuania
1503;Switzerland
1512;Ukraine
1516;Hungary
1517;Germany
1518;Germany
1520;Germany
1521;Germany
1525;England
1527;England
1542;France
1542;Spain
1543;Switzerland
1547;France
1554;Spain
1556;Spain
1563;Czech Republic
1572;Portugal
1573;England
1578;Spain
1580;Germany
1613;France
1618;Croatia
1647;France
1647;Italy
1649;England
1669;Germany
1683;Northern Ireland
1687;Russia
1687;UdSSR
1703;Scotland
1707;England
1708;England
1722;Scotland
1727;France
1733;France
1733;Poland
1736;France
1742;Wales
1752;Belgium
1775;England
1790;Russia
1790;UdSSR
1801;Norway
1805;Brazil
1809;Italy
1810;Italy
1821;Germany
1825;Wales
1828;Scotland
1832;Italy
1842;Germany
1876;Netherlands
1880;Netherlands
1899;England
1910;Croatia
1910;Switzerland
1923;Germany
1932;Italy
1936;Netherlands
1937;Italy
1938;Austria
1939;Hungary
1941;Ireland
1976;Brazil
1990;England
2027;Italy
2029;Netherlands
2037;Scotland
2049;Italy
2052;Belgium
2078;Bosnia-Herzegovina
2078;Serbia
2084;Germany
2085;Czech Republic
2107;Romania
2120;Netherlands
2121;Brazil
2123;Italy
2139;Italy
2147;England
2158;Austria
2196;Slovakia
2232;Germany
2281;Germany
2290;Germany
2292;Switzerland
2311;Germany
2311;Switzerland
2332;Turkey
2336;Germany
2365;Netherlands
2389;Bosnia-Herzegovina
2389;Germany
2403;France
2412;France
2426;Croatia
2436;Bosnia-Herzegovina
2441;Austria
2443;Austria
2461;Portugal
2468;Poland
2474;Slovakia
2476;Germany
2476;Poland
2504;Mexico
2504;Serbia
2508;Poland
2542;Serbia
2543;Sweden
2545;Ukraine
2551;France
2588;Argentina
2590;Slovakia
2630;Uruguay
2634;Scotland
2635;Scotland
2636;Scotland
2637;England
2661;Spain
2691;Czech Republic
2694;Slovakia
2695;Slovakia
2697;Slovakia
2703;Germany
2708;Romania
2709;England
2723;Poland
2728;Italy
2754;Russia
2754;Turkmenistan
2755;Russia
2755;Ukraine
2790;Germany
2823;Italy
2824;Denmark
2837;Sweden
2878;Sweden
2881;Denmark
2917;Uruguay
2923;Argentina
2991;Austria
2998;Austria
3003;Austria
3005;Austria
3006;Austria
3007;Austria
3008;Slovenia
3033;Portugal
3048;Croatia
3064;Italy
3065;Russia
3065;UdSSR
3078;Switzerland
3079;England
3082;England
3109;Italy
3112;Sweden
3116;Germany
3117;Germany
3119;Sweden
3120;Sweden
3121;Sweden
3123;Sweden
3125;Sweden
3127;England
3129;England
3133;England
3139;Poland
3158;Italy
3158;Slovenia
3194;England
3217;Portugal
3228;Germany
3241;Netherlands
3252;Poland
3301;England
3319;Netherlands
3323;Colombia
3325;Sweden
3326;England
3338;Germany
3383;Slovenia
3390;Belgium
3404;Slovakia
3425;Denmark
3449;Belarus
3507;Germany
3586;Argentina
3597;Serbia
3604;Serbia
3618;Poland
3665;Scotland
3694;Scotland
3722;Poland
3742;Netherlands
3753;England
3768;Lithuania
3780;Israel
3785;Netherlands
3787;Netherlands
3841;Netherlands
3843;Netherlands
3868;France
3869;Czech Republic
3880;France
3904;Poland
3943;France
3946;France
3967;France
3975;Argentina
3978;France
4001;France
4006;France
4011;France
4035;France
4070;Austria
4082;Hungary
4082;Romania
4088;Serbia
4111;Bosnia-Herzegovina
4120;Poland
4136;England
4142;Netherlands
4146;England
4149;England
4153;England
4160;France
4166;Germany
4175;Ireland
4181;Croatia
4198;Spain
4204;Bosnia-Herzegovina
4204;Croatia
4219;Serbia
4227;England
4282;Italy
4283;Switzerland
4335;Switzerland
4343;Russia
4363;Ukraine
4405;Sweden
4424;Denmark
4481;Serbia
4618;Germany
4628;Brazil
4676;Germany
4682;Germany
4715;Netherlands
4743;Belgium
4784;Romania
4819;Bosnia-Herzegovina
4819;Qatar
4890;Serbia
4995;Russia
4995;UdSSR
5016;Brazil
5051;Croatia
5051;Spain
5100;Armenia
5100;Uruguay
5104;Russia
5107;Netherlands
5144;Armenia
5164;Ukraine
5191;Ukraine
5192;Ukraine
5207;Ukraine
5221;Norway
5225;Spain
5227;Serbia
5239;Scotland
5240;Hungary
5240;Ukraine
5278;Spain
5293;Albania
5315;Germany
5328;Germany
5342;Italy
5383;Scotland
5409;Netherlands
5416;Italy
5429;Romania
5429;Turkey
5432;Italy
5433;France
5441;Netherlands
5480;Poland
5493;Argentina
5501;Belgium
5539;Finland
5548;Sweden
5563;Ukraine
5572;Italy
5602;Sweden
5618;Bulgaria
5727;Austria
5762;Spain
5777;Albania
5781;Italy
5786;Italy
5809;France
5862;Switzerland
5872;Switzerland
5925;Spain
6017;Ukraine
6050;Hungary
6074;Portugal
6115;England
6116;England
6117;England
6119;England
6130;Spain
6163;Germany
6195;Italy
6208;Romania
6242;Germany
6276;Austria
6306;England
6309;England
6315;Wales
6349;England
6367;Russia
6413;Germany
6435;England
6495;Estonia
6495;UdSSR
6497;Russia
6497;UdSSR
6525;Spain
6566;Portugal
6571;Scotland
6593;Slovenia
6594;Austria
6595;Austria
6597;Slovakia
6598;Austria
6749;Scotland
6754;Hungary
6761;Bosnia-Herzegovina
6782;Belgium
6782;Serbia
6792;Germany
6816;Finland
6850;Malta
6945;Croatia
6958;Germany
7064;England
7079;France
7121;Poland
7125;Poland
7128;Poland
7129;Poland
7196;Germany
7236;France
7277;Netherlands
7281;Scotland
7288;England
7300;England
7302;Russia
7302;UdSSR
7394;Austria
7416;Czech Republic
7418;Serbia
7418;Spain
7427;Germany
7448;Germany
7583;Czech Republic
7585;England
7590;Belgium
7647;Russia
7647;UdSSR
7649;Hungary
7664;England
7701;Austria
7726;Portugal
7875;Turkey
8107;Luxembourg
8163;Scotland
8253;Scotland
8267;Portugal
8278;Ireland
8368;Denmark
8374;Denmark
8498;Switzerland
8526;Denmark
8539;Poland
8561;Germany
8604;Belgium
8664;Ireland
8675;Luxembourg
8712;Germany
8726;Austria
8760;Germany
8772;Serbia
8808;Serbia
8856;Hungary
8860;Germany
8879;Germany
8950;Russia
9036;Germany
9108;Hungary
9141;Germany
9142;Hungary
9151;Hungary
9182;Denmark
9209;Austria
9231;Belgium
9268;Greece
9282;England
9294;Russia
9298;Austria
9300;Sweden
9313;Germany
9344;Iceland
