PlayerID;ClubID;Since
130;4;1984-07-01
233;113;1982-07-01
274;450;1987-07-01
2099;25;1985-07-01
3571;447;1987-07-01
3699;398;1986-06-30
5372;40;1985-07-01
5481;826;1985-07-01
6381;52;1986-07-01
9758;91;1987-07-01
11353;1189;1987-07-01
13806;86;1987-07-01
14183;358;1983-07-01
14831;92;1987-08-01
14833;79;1981-07-01
16980;79;1984-07-01
18288;4;1987-07-01
21654;496;1987-01-01
22256;131;1986-07-01
25410;44;1987-07-01
27720;413;1976-07-01
32718;447;1981-07-01
40122;41;1987-07-01
57307;398;1954-06-30
76009;14;1986-07-01
77010;129;1985-07-01
77517;92;1986-01-01
78249;14;1983-07-01
78761;95;1987-07-01
79570;222;1986-07-01
80122;10;1970-07-01
81625;39;1986-07-01
84063;80;1972-07-01
84619;79;1980-07-01
84649;377;1984-07-01
85482;41;1987-11-01
85575;2149;1983-07-01
89230;294;1960-07-01
92220;36;1986-07-01
92267;36;1972-07-01
94101;41;1969-07-01
95034;413;1982-07-01
95040;71;1987-01-01
95051;33;1987-07-01
95420;27;1976-07-01
95458;27;1970-07-01
96022;3;1948-07-01
96069;1091;1987-06-30
96181;3;1969-07-01
96554;16;1964-07-01
96640;92;1986-10-01
96641;18;1985-07-01
97069;625;1975-07-01
97124;71;1973-07-01
97245;18;1986-07-01
97305;1096;1981-07-01
97331;443;1977-07-01
97388;18;1957-07-01
97490;2055;1980-01-01
97609;44;1976-09-01
99708;24;1966-07-01
99711;24;1963-07-01
100549;2444;1974-07-01
100609;1;1986-07-01
100670;443;1985-01-01
100919;39;1985-07-01
101037;663;1985-01-01
101056;39;1978-07-01
101120;290;1984-07-01
101136;370;1983-07-01
101169;129;1976-12-01
101325;984;1984-12-01
101432;60;1977-07-01
101752;3057;1985-07-01
102299;265;1982-07-01
102498;180;1985-07-01
102501;31;1979-09-19
102506;353;1985-01-01
102755;1053;1987-07-01
103756;2503;1984-07-01
104889;84;1984-07-01
106441;2;1986-07-01
106909;58;1982-07-01
109443;2;1964-07-01
109708;116;1981-07-01
110257;443;1973-07-01
112152;85;1986-07-01
112485;667;1976-07-01
115908;449;1983-07-01
116134;58;1982-01-01
116140;678;1982-01-01
116146;370;1985-07-01
116148;371;1987-07-01
116154;29;1980-04-01
116864;294;1981-07-01
116986;339;1987-07-01
117004;107;1983-07-01
117195;11;1980-07-01
117404;290;1985-07-03
117490;995;1973-07-01
118144;3057;1981-07-01
118164;3057;1985-07-01
119387;23;1976-07-01
120540;5;1984-07-01
121090;276;1983-07-01
127708;2;1973-07-01
128882;46;1984-07-01
128987;969;1985-07-01
128995;40;1980-07-01
130988;354;1983-07-01
131030;370;1981-07-01
131294;43;1980-07-01
132389;447;1976-07-01
132774;1186;1986-01-01
132805;1;1987-07-01
132969;216;1981-07-01
133753;720;1974-01-01
135095;418;1968-07-01
135284;289;1985-07-01
135304;1519;1966-07-01
135587;428;1969-07-01
135614;3057;1978-07-01
135633;192;1978-07-01
135645;234;1984-07-01
135646;200;1984-07-01
135657;443;1987-07-01
135788;12;1987-07-01
135793;416;1974-07-01
138028;35;1987-07-01
141879;1096;1982-07-01
142950;395;1980-07-01
143555;422;1986-07-01
145120;1123;1980-07-01
145370;398;1978-09-01
146630;159;1978-07-01
146888;1008;1975-01-01
149003;610;1978-07-01
149126;610;1984-07-01
150319;31711;1976-01-01
150614;1090;1983-07-01
150641;621;1977-07-01
150920;1041;1987-07-01
154238;234;1956-07-01
154256;317;1982-01-01
156209;116;1982-07-01
159967;681;1974-07-01
160386;131;1962-06-30
165411;379;1987-01-01
166555;12;1976-07-01
166852;301;1982-07-01
169184;434;1987-07-01
169281;683;1953-07-01
169384;395;1980-07-01
170710;418;1954-07-01
173047;312;1986-07-01
173071;195;1985-01-01
173536;1053;1984-01-01
173655;417;1985-07-01
173678;995;1981-07-01
173824;826;1987-06-30
175888;164;1986-07-01
176088;164;1987-12-01
176121;371;1980-07-01
176210;358;1986-07-01
176222;512;1966-10-01
176274;985;1956-10-01
176295;164;1966-09-01
176327;1078;1973-07-01
176351;1110;1978-08-01
176675;11;1969-10-01
176708;11;1974-10-01
176734;379;1983-07-01
176738;1237;1984-01-01
176755;631;1979-07-01
176800;631;1987-03-01
176826;281;1963-07-01
176930;337;1984-11-01
176944;1132;1983-07-01
176972;631;1967-07-01
177177;762;1985-10-01
177242;720;1980-07-01
177288;1078;1973-07-01
177755;4286;1987-07-01
177760;4286;1985-07-01
178832;10603;1987-07-01
179292;338;1975-01-01
179891;208;1984-07-01
180297;1008;1986-01-01
180571;708;1986-11-01
180629;1075;1987-01-01
180636;5594;1981-07-01
181599;405;1987-09-01
181971;2410;1986-01-01
182004;1044;1963-01-01
182796;1257;1981-07-01
184854;504;1978-07-01
186334;1025;1987-07-01
187048;610;1959-08-01
187698;663;1985-01-01
187710;663;1978-01-01
188573;1090;1968-07-01
191627;279;1986-07-01
193638;416;1956-07-01
193796;405;1976-07-01
194575;683;1967-07-01
197360;468;1986-07-01
200123;621;1968-07-01
200753;681;1986-07-01
201881;159;1985-07-01
206266;3189;1986-01-01
209194;338;1974-01-01
210380;995;1987-07-01
213685;312;1965-07-01
214165;150;1985-07-01
214725;329;1987-07-01
215081;3471;1977-07-01
215106;583;1985-07-01
215713;197;1959-07-01
215723;321;1964-07-01
215887;663;1979-01-01
216053;279;1953-07-01
216067;709;1964-01-01
216556;1257;1985-07-01
216584;40;1979-07-01
217783;114;1982-07-01
217796;506;1984-07-01
221589;709;1974-07-01
222095;641;1985-07-01
222524;405;1983-03-01
222640;405;1985-07-01
222641;405;1987-11-01
222734;399;1985-01-01
222782;416;1983-06-30
222810;129;1966-07-01
222836;129;1965-07-01
222878;931;1971-09-01
222973;800;1985-07-01
222980;506;1987-07-01
222986;800;1984-07-01
223088;36;1984-07-01
223256;281;1986-10-17
223750;317;1970-07-01
224018;1038;1974-07-01
224061;989;1982-07-01
224109;800;1972-07-01
224546;410;1983-07-01
224571;12;1984-06-30
224584;12;1983-12-01
225948;931;1987-12-01
226890;29;1983-06-01
226993;234;1981-07-01
227450;398;1987-07-01
227544;1390;1985-07-01
227857;180;1986-10-15
228060;180;1987-08-11
228127;410;1981-07-01
230729;192;1973-07-01
230738;200;1980-07-01
231190;222;1969-07-01
232289;17149;1982-01-01
232456;14;1986-07-01
232878;192;1984-07-01
233104;468;1976-07-01
233191;826;1975-07-01
234403;365;1966-07-01
234417;5225;1972-07-01
234444;540;1968-07-01
236039;1421;1972-07-01
236052;995;1963-07-01
236213;2055;1978-07-01
237710;399;1964-07-01
237723;12;1970-07-01
237768;669;1967-12-01
237814;4772;1972-01-01
241226;669;1983-07-01
241227;419;1984-07-01
242259;6251;1984-01-01
243061;1118;1986-01-01
243434;200;1970-07-01
243495;317;1983-07-01
243512;317;1979-07-01
243924;148;1971-07-01
243936;289;1973-11-01
245248;418;1965-07-01
245309;294;1957-07-01
245359;46;1963-01-01
246612;468;1962-07-01
247059;450;1955-07-01
247425;903;1960-12-01
247859;1025;1945-07-01
248795;131;1944-12-01
249181;358;1982-07-01
249235;398;1954-07-01
250106;339;1977-01-01
250918;398;1966-07-01
250948;800;1976-07-01
250951;6195;1963-07-01
251034;1123;1979-08-01
251095;148;1959-07-01
251118;124;1964-06-01
255153;29;1971-07-01
255171;418;1975-07-01
255327;416;1973-07-01
256219;337;1973-07-01
256232;318;1972-07-01
257951;618;1967-07-01
259195;208;1976-07-01
262148;413;1974-07-01
266622;3899;1983-07-01
266915;244;1966-07-01
269867;36;1977-07-01
273627;681;1987-07-01
282172;279;1976-07-01
285285;990;1983-07-01
285416;329;1971-07-01
289694;398;1958-07-01
294416;3057;1984-07-01
295180;58;1971-07-01
296358;9465;1975-07-01
296480;350;1968-07-01
296745;337;1981-07-01
296883;8037;1982-01-01
296954;2282;1963-07-01
297793;43;1979-07-01
298075;1091;1979-07-01
298315;129;1973-07-01
298780;26;1973-07-01
298900;336;1978-07-01
298943;2503;1985-07-01
299031;1007;1975-07-01
299068;16786;1980-01-01
299188;2973;1980-07-01
299337;512;1962-07-01
300963;1044;1969-01-01
301070;504;1967-07-01
301972;1390;1983-07-01
302233;3258;1987-07-01
302777;417;1971-07-01
302953;940;1974-07-01
303782;641;1978-10-01
303943;1443;1975-07-01
304111;952;1969-07-01
304599;26;1962-07-01
306504;61;1966-07-01
306729;5;1962-11-01
306917;5;1958-07-01
306932;3258;1959-07-01
310576;368;1972-07-01
314475;306;1969-07-01
314630;306;1968-07-01
319023;180;1986-04-01
323631;20;1981-07-01
323632;20;1986-07-01
324529;1181;1957-07-01
327383;703;1968-11-01
328840;1237;1984-07-01
330296;21949;1985-07-01
336523;1025;1986-07-01
336541;1390;1973-07-01
336909;398;1982-07-01
338292;130;1984-07-01
348183;30;1963-07-01
360497;403;1983-07-01
367776;506;1956-07-01
368012;276;1979-07-01
368063;1038;1976-06-30
373612;991;1986-08-01
375078;22;1985-07-01
380360;985;1987-01-31
389068;416;1953-07-01
389576;800;1977-10-01
405303;5;1976-07-01
409812;1010;1987-09-10
410921;26;1960-07-01
420351;468;1978-07-01
421225;200;1977-06-30
422678;306;1978-07-01
426988;114;1975-07-01
430421;1038;1966-07-01
430427;416;1950-07-01
431077;398;1972-07-01
439305;36;1927-12-01
447876;1025;1968-07-01
450072;417;1965-12-01
452166;1519;1979-01-01
452997;1096;1984-07-01
453000;873;1987-07-01
454765;1020;1984-01-01
466389;543;1985-07-01
466671;762;1985-07-01
466681;512;1987-07-01
475931;1025;1973-07-01
476514;410;1976-07-01
476927;192;1964-07-15
479848;204;1971-07-01
480733;405;1987-07-01
480740;762;1984-01-01
481522;289;1987-07-22
482468;337;1982-10-01
482469;337;1986-07-01
482946;157;1977-07-01
483418;543;1986-07-01
492117;720;1985-07-01
495426;21955;1972-07-01
495433;21953;1974-07-01
496617;1041;1961-07-01
496618;1041;1966-07-01
498208;903;1984-07-01
499453;1035;1976-10-01
499967;1123;1984-07-01
502079;2288;1984-07-01
502336;873;1978-07-01
502761;984;1979-07-01
509040;365;1984-07-01
509043;450;1984-07-01
509784;358;1985-07-01
514487;12;1952-07-01
519640;1038;1953-07-01
523627;130;1958-07-01
537493;625;1976-07-01
540001;255;1985-07-01
552856;989;1987-10-01
555416;720;1983-06-01
556561;2503;1984-07-01
562154;703;1979-07-01
563678;1039;1986-05-31
566806;124;1964-07-01
572884;20;1986-07-01
576538;20;1986-07-01
577657;2573;1977-07-01
596213;641;1970-01-01
602711;1041;1967-06-30
604946;434;1982-07-01
614462;350;1982-07-01
617184;730;1979-07-01
619126;22;1978-01-01
621542;350;1974-07-01
621842;543;1978-07-01
622060;355;1987-09-01
624592;4959;1982-07-01
624965;762;1966-12-30
626135;1027;1965-11-01
626281;703;1964-02-01
626856;6066;1984-01-01
627432;1020;1973-01-01
628507;984;1984-12-31
628929;11;1961-01-01
638038;2844;1967-01-01
638078;337;1961-12-01
640456;2288;1985-03-01
642571;1075;1975-07-01
644716;352;1985-07-01
644856;703;1984-01-01
645026;3463;1964-12-01
645680;1003;1970-09-01
645780;337;1971-12-01
655734;61;1969-07-01
662543;43;1981-07-01
672903;349;1979-11-14
677404;641;1965-07-01
677922;1181;1952-07-01
682474;790;1967-07-01
687038;281;1983-07-01
688692;405;1956-03-01
690206;355;1959-03-01
696894;157;1981-07-01
701091;3189;1983-03-01
702226;36;1973-07-03
711488;358;1970-10-01
716185;931;1963-07-01
717255;667;1973-07-01
721525;990;1971-05-31
723417;1010;1971-08-01
724003;157;1962-07-01
725241;1181;1970-11-01
726593;991;1987-12-31
729206;2288;1967-03-01
731098;1186;1968-09-01
731390;468;1980-07-01
733598;255;1958-01-01
737280;405;1969-12-01
740211;677;1964-07-01
743970;762;1968-07-01
746771;5594;1970-07-01
790402;991;1970-07-01
