ClubID;CompetitionID;NumParticipations;NumWon
1;L1;5;0
2;CL;1;0
2;L1;38;2
3;L1;37;2
4;L1;22;1
5;CL;6;1
8;L1;3;0
10;L1;11;0
11;CL;4;0
11;GB1;10;2
12;CL;1;0
13;CL;1;0
14;CL;2;0
15;CL;4;0
15;L1;23;0
16;CL;5;1
16;L1;35;3
18;L1;35;5
22;GB1;6;0
23;L1;20;1
24;L1;36;0
25;L1;2;0
27;CL;6;1
27;L1;37;16
29;GB1;10;0
30;L1;8;0
31;CL;1;0
31;GB1;10;0
33;CL;1;0
33;L1;34;0
35;L1;7;0
36;CL;2;0
38;L1;22;0
40;CL;1;0
41;CL;1;0
41;L1;39;3
42;L1;14;0
44;CL;1;0
44;L1;21;0
46;CL;1;0
48;L1;22;0
52;L1;26;0
56;L1;7;0
57;L1;4;0
58;CL;4;0
60;L1;8;0
66;L1;2;0
69;L1;1;0
71;L1;2;0
72;L1;18;1
79;CL;1;0
79;L1;37;2
80;L1;27;0
82;L1;5;0
85;L1;7;0
86;CL;1;0
86;L1;38;3
88;CL;1;0
91;L1;1;0
92;L1;1;0
95;L1;14;0
97;L1;4;0
101;L1;2;0
105;L1;2;0
107;L1;7;0
114;CL;3;0
116;CL;1;0
119;CL;1;0
122;CL;3;0
124;CL;6;0
129;L1;4;0
130;CL;1;0
131;CL;8;0
141;CL;7;0
148;GB1;10;0
156;CL;1;0
162;CL;3;0
164;CL;1;0
164;GB1;8;1
170;CL;1;0
180;GB1;10;0
190;CL;1;0
195;CL;8;0
197;CL;5;0
204;CL;1;0
206;CL;1;0
208;CL;1;0
232;CL;7;0
234;CL;4;0
237;CL;1;0
238;CL;2;0
239;CL;1;0
244;CL;2;1
255;CL;1;0
265;CL;4;0
272;CL;2;0
279;CL;2;0
281;GB1;5;0
289;GB1;4;0
290;CL;1;0
294;CL;2;0
299;L1;3;0
301;CL;4;0
306;CL;1;0
312;CL;1;0
321;CL;1;0
328;L1;3;0
336;CL;2;0
338;CL;7;0
349;GB1;1;0
350;GB1;2;0
352;GB1;1;0
355;GB1;3;0
358;GB1;3;0
369;CL;1;0
371;CL;1;0
379;GB1;9;0
383;CL;6;0
398;CL;3;0
399;CL;2;0
399;GB1;10;0
403;CL;1;0
405;GB1;10;0
409;CL;1;0
418;CL;6;3
419;CL;3;0
430;CL;1;0
447;CL;1;0
459;L1;3;0
504;CL;2;0
506;CL;6;1
540;CL;1;0
583;CL;3;0
602;CL;1;0
610;CL;4;1
621;CL;1;0
631;CL;1;0
631;GB1;10;0
641;GB1;7;0
660;CL;1;0
677;GB1;5;0
683;CL;5;0
687;CL;1;0
699;CL;1;0
703;GB1;5;0
709;CL;1;0
720;CL;8;0
762;CL;1;0
762;GB1;9;0
790;CL;1;0
801;CL;4;0
826;CL;1;0
873;GB1;3;0
897;CL;2;0
931;GB1;1;0
932;CL;1;0
985;CL;8;1
985;GB1;10;7
990;GB1;9;0
991;GB1;8;0
995;CL;2;0
1003;GB1;7;0
1008;CL;2;0
1010;GB1;1;0
1027;GB1;2;0
1035;GB1;8;0
1039;GB1;4;0
1041;CL;2;0
1043;CL;2;0
1049;CL;2;0
1053;CL;1;0
1078;GB1;2;0
1082;CL;1;0
1123;GB1;3;0
1180;CL;1;0
1231;CL;1;0
2149;L1;1;0
2227;CL;1;0
2282;CL;1;0
2410;CL;1;0
2441;CL;3;0
2503;CL;2;0
2784;CL;1;0
3471;CL;1;0
3793;CL;1;0
4772;CL;1;0
5608;L1;1;0
5849;CL;1;0
9026;CL;1;0
10493;CL;1;0
10603;CL;1;0
21955;CL;1;0
