TmID;JerseyName;FullName;BirthDate;BirthPlace;Height;PrimPosition;Foot;Outfitter;NumGames;NumGoals;NumIntGames;NumIntGoals
38191;Seeler;Uwe Seeler;1936-11-05;Hamburg;N/A;Centre-Forward;N/A;;0;0;72;43
50816;Sívori;Omar Enrique  Sivori;1935-10-02;San Nicolás de los Arroyos;N/A;Second Striker;N/A;;0;0;9;8
56626;Cavigioli;Emidio Cavigioli;1925-07-03;Omegna;1,83 m;Right Winger;;;0;0;2;3
72381;Schnellinger;Karl-Heinz Schnellinger;1939-03-31;Düren;N/A;Left-Back;N/A;;0;0;47;1
75999;Hanappi;Gerhard Hanappi;1929-02-16;Wien;;;;;0;0;93;12
81612;Hornig;Heinz Hornig;1937-09-28;Gelsenkirchen;N/A;Left Winger;N/A;;0;0;7;0
89669;Angelillo;Antonio Valentin Angelillo;1937-09-05;Buenos Aires;1,78 m;Attacking Midfield;right;;0;0;2;1
94064;Horst;Egon Horst;1938-11-25;Aschaffenburg;N/A;Centre-Back;N/A;;0;0;0;0
94085;Schnoor;Horst Schnoor;1934-04-11;Hamburg;N/A;Goalkeeper;;;0;0;0;0
94108;Bähre;Harry Bähre;1941-07-22;;;;;;0;0;0;0
94114;Giesemann;Willi Giesemann;1937-09-02;Braunschweig;N/A;Defensive Midfield;N/A;;0;0;14;0
95103;Herrmann;Günter Herrmann;1939-09-01;Trier;;Attacking Midfield;N/A;;0;0;9;0
95161;van Haaren;Heinz van Haaren;1940-06-03;Marl;;Attacking Midfield;;;0;0;0;0
95534;Ohlhauser;Rainer Ohlhauser;1941-01-06;Dilsberg;N/A;Centre-Forward;N/A;;0;0;1;0
95553;Drescher;Jakob Drescher;1939-06-23;Kulmbach;;;;;0;0;0;0
95577;Sieber;Harry Sieber;1941-03-30;;;;;;0;0;0;0
95838;Regh;Anton Regh;1940-09-12;Stotzheim;N/A;;;;0;0;0;0
96022;Schäfer;Hans Schäfer;1927-10-19;Köln-Zollstock;N/A;Attacking Midfield;N/A;;0;0;40;15
96027;Wilden;Leo Wilden;1936-07-03;Düren;N/A;Sweeper;N/A;;0;0;15;0
96560;Burgsmüller;Wilhelm Burgsmüller;1932-01-18;Dortmund;;Centre-Back;;;0;0;0;0
96561;Cyliax;Gerhard Cyliax;1934-08-23;Dortmund;N/A;;;;0;0;0;0
96598;Schmidt;Alfred Schmidt;1935-09-05;Dortmund;N/A;Attacking Midfield;N/A;;0;0;25;8
96604;Tilkowski;Hans Tilkowski;1935-07-12;Dortmund-Husen;N/A;Goalkeeper;N/A;;0;0;39;0
97027;Eisele;Hans Eisele;1940-08-07;Stuttgart;N/A;Right-Back;N/A;;0;0;0;0
97033;Hoffmann;Theodor Hoffmann;1940-07-05;Östringen;1,80 m;Defensive Midfield;right;;0;0;0;0
97388;Jansen;Albert Jansen;1936-11-03;;;;;;0;0;0;0
97634;Eder;Hans Eder;1934-11-14;Berlin;;;;;0;0;0;0
