TmID;FullName;BirthDate;BirthPlace;Height;TrainerLicense;PreferredFormation;NumGames
4;Sir Alex Ferguson;1941-12-31;Govan, Glasgow;;UEFA Pro Licence;;0
7;Aimé Anthuenis;1943-12-21;Lokeren;;;;0
9;Nils Arne Eggen;1941-09-17;Orkdal;;;;0
13;Otto Baric;1932-06-19;Eisenkappel;;UEFA Pro Licence;;0
16;Jörg Berger;1944-10-13;Gotenhafen;;Head coach;;0
34;Pál Csernai;1932-10-21;Pilis;;Head coach;;0
44;Jupp Derwall;1927-03-10;Würselen;;;;0
62;Karl-Heinz Feldkamp;1934-06-02;Essen;;;;0
76;Eduard Geyer;1944-10-07;Bielitz;;;;0
81;Rudi Gutendorf;1926-08-30;Koblenz;;;;0
88;Sigfried Held;1942-08-07;Freudenthal;;;;0
90;Jupp Heynckes;1945-05-09;Mönchengladbach;;Head coach;4-3-3 Attacking;0
201;Otto Rehhagel;1938-08-09;Essen;;Head coach;;0
206;Aleksandar Ristic;1944-06-28;Sarajevo;;UEFA Pro Licence;;0
213;Guy Roux;1938-10-18;Colmar;;Head coach;;0
262;Giovanni Trapattoni;1939-03-17;Cusano Milanino;;;;0
271;Eberhard Vogel;1943-04-08;Frankenberg;;;;0
279;Dietrich Weise;1934-11-21;Gröben;;;;0
302;Hans Meyer;1942-11-03;Briesen;;;;0
315;Willi Ertz;1943-05-28;Neunkirchen;;;;0
347;Christoph Franke;1944-12-20;Mülsen St. Jacob;;Head coach;;0
348;Meinhard Hemp;1942-12-10;Allenau;;;;0
461;Sir Bobby Robson;1933-02-18;Sacriston;;UEFA Pro Licence;;0
498;Foppe de Haan;1943-06-26;Lippenhuizen;;Head coach;;0
544;Gilbert Gress;1941-12-17;Straßburg;;;;0
610;Dario Gradi;1941-07-08;Mailand;;UEFA Pro Licence;;0
614;Craig Brown;1940-07-01;Hamilton;;;;0
624;Luis Aragonés;1938-07-28;Madrid;;;;0
631;Robert Waseige;1939-08-26;Rocourt;;;;0
671;Josip Skoblar;1941-03-12;Privlaka;;;;0
672;Egon Coordes;1944-07-13;Wesermünde;;Head coach;;0
729;Diethelm Ferner;1941-07-13;Kragau;;;;0
751;Bernd Erdmann;1942-10-23;;;;;0
805;Mircea Lucescu;1945-07-29;Bukarest;;UEFA Pro Licence;4-2-3-1;0
814;Sakip Özberk;1945-05-01;Gaziantep;;UEFA Pro Licence;;0
829;Udo Lattek;1935-01-16;Bosemb;;;;0
843;Willi Multhaup;1903-07-19;Essen;;;;0
844;Günter Brocker;1925-05-24;Duisburg;;;;0
845;Fritz Langner;1912-08-08;;;;;0
846;Fritz Rebell †;1905-05-07;Heusenstamm;;;;0
847;Hans Tilkowski;1935-07-12;Dortmund-Husen;;;;0
848;Robert Gebhardt;1920-09-20;;;;;0
849;Sepp Piontek;1940-03-05;Breslau;;;;0
850;Herbert Burdenski;1922-05-19;Gelsenkirchen;;;;0
851;Fred Schulz †;1903-10-27;;;;;0
852;Wolfgang Weber;1944-06-26;Schlawe;;;;0
860;Georg Gawliczek;1919-02-02;Schillersdorf (Oberschlesien);;;;0
862;Ernst Happel;1925-11-29;Wien;;;;0
863;Kuno Klötzer;1922-04-19;Geyer;;Licence trainer;;0
864;Georg Knöpfle;1904-05-15;Schramberg;;;;0
865;Kurt Koch;1919-11-02;;;;;0
866;Klaus-Dieter Ochs;1939-10-31;Wattenscheid;;;;0
867;Josef Schneider;1914-04-13;Koblenz;;;;0
868;Martin Wilke;1926-11-15;;;;;0
869;Branko Zebec;1929-05-17;Zagreb;;;;0
872;Friedel Rausch;1940-02-27;Duisburg;;Head coach;;0
873;Horst Heese;1943-12-31;Düsseldorf;;Head coach;;0
875;Lothar Buchmann;1936-08-15;Breslau;;Head coach;;0
876;Dettmar Cramer;1925-04-04;Dortmund;;;;0
877;Jürgen Grabowski;1944-07-07;Wiesbaden;;;;0
878;Ivica Horvat;1926-07-16;Sisak;;;;0
879;Otto Knefler;1923-09-05;Bernburg/Saale;;;;0
880;Gyula Lóránt;1923-02-06;Köszeg;;;;0
881;Paul Oßwald;1905-02-04;Saalfeld;;;;0
882;Erich Ribbeck;1937-06-13;Wuppertal;;;;0
883;Hans-Dieter Roos;1937-05-22;Simmern;;Licence trainer;;0
884;Elek Schwartz;1908-10-23;Timisoara;;;;0
885;Helmut Senekowitsch;1933-10-22;Graz;;UEFA A Licence;;0
889;Horst Franz;1940-06-07;Berlin;;Head coach;;0
890;Fahrudin Jusufi;1939-12-08;Dragaš;;;;0
891;Rolf Schafstall;1937-02-22;Duisburg;;Licence trainer;;0
893;Jürgen Sundermann;1940-01-25;Mülheim an der Ruhr;;;;0
896;Franz Beckenbauer;1945-09-11;München;;;;0
897;Zlatko Cajkovski;1923-11-24;Zagreb;;;;0
898;Slobodan Cendic;1938-08-28;Kragujevac;;Licence trainer;;0
899;Gerhard Gläser;1911-12-26;Magdeburg;;;;0
900;Jürgen Heinsch;1940-07-04;Lübeck;;;;0
901;Helmut Hergesell;1941-10-22;München;;;;0
902;Claus Kreul;1944-05-26;Erlbach im Vogtland;;;;0
903;Harry Nippert;1933-12-12;Seelow;;;;0
904;Erich Rutemöller;1945-02-08;Recke-Steinbeck;;Head coach;;0
905;Horst Saß;1934-04-20;;;;;0
908;Heinz Werner;1935-12-27;Ünglingen;;;;0
912;Max Merkel;1918-12-07;Wien;;;;0
914;Dietmar Schwager;1940-08-15;;;;;0
915;Willi Entenmann;1943-09-25;Benningen am Neckar;;;;0
