PlayerID;Nationality
15;Germany
20;Germany
24;Luxembourg
31;Germany
48;Germany
89;Brazil
89;Germany
94;Croatia
95;Switzerland
113;Germany
114;Germany
115;Nigeria
122;Germany
126;Netherlands
130;Germany
135;Germany
135;Serbia
142;Brazil
151;Croatia
154;Germany
160;Austria
173;Germany
176;Hungary
180;Bosnia-Herzegovina
180;Croatia
183;Sweden
185;Hungary
196;Germany
197;Germany
206;Germany
209;Germany
216;Germany
222;Germany
231;Germany
246;Germany
248;Germany
251;Egypt
254;Sweden
259;Germany
270;Germany
279;Denmark
284;Belgium
285;Germany
285;Poland
310;Germany
323;Germany
327;Germany
328;Ghana
353;Germany
356;Germany
360;Germany
360;Poland
361;Germany
368;Poland
370;Germany
377;Germany
387;Germany
394;Tunisia
427;Germany
427;Turkey
443;Germany
445;Germany
452;Germany
458;Germany
477;Germany
477;Spain
481;Germany
492;Germany
497;Germany
515;Germany
535;Ukraine
541;Netherlands
545;Australia
545;Italy
549;Czech
549;Republic
562;Germany
576;Germany
612;Germany
612;Guinea
614;Germany
615;Germany
621;Croatia
623;Montenegro
635;Germany
636;Germany
642;Netherlands
654;Germany
657;Germany
660;Poland
664;Croatia
664;Germany
669;Scotland
678;Germany
679;Germany
680;Germany
687;Bosnia-Herzegovina
695;Germany
699;Germany
703;Croatia
704;Portugal
709;Czech
709;Republic
717;Romania
722;Denmark
722;Spain
725;Germany
727;Germany
731;Poland
733;Czech
733;Republic
749;Germany
766;Germany
780;Senegal
798;Germany
811;Senegal
814;Brazil
822;Albania
843;Germany
851;Germany
852;Germany
874;Germany
875;Germany
881;Germany
885;Bosnia-Herzegovina
889;Germany
891;Germany
893;Germany
896;Germany
899;Tunisia
906;Serbia
908;Germany
917;Germany
919;Germany
923;Albania
934;Germany
939;Czech
939;Republic
959;Germany
973;Germany
989;Croatia
995;Nigeria
997;Germany
999;Germany
1003;Ukraine
1017;Germany
1026;Germany
1037;Finland
1041;Germany
1045;Germany
1049;Germany
1065;Germany
1074;Cameroon
1074;France
1076;Switzerland
1092;Germany
1130;Bosnia-Herzegovina
1130;Germany
1148;Germany
1157;Czech
1157;Republic
1179;Germany
1202;Hungary
1205;Germany
1207;Germany
1236;Germany
1237;Brazil
1237;Spain
1255;Poland
1273;Germany
1279;Czech
1279;Republic
1285;Serbia
1312;Equatorial
1312;Germany
1312;Guinea
1317;Germany
1384;Serbia
1389;Scotland
1392;Croatia
1394;Serbia
1417;Germany
1430;Denmark
1433;Germany
1450;France
1456;Germany
1472;Germany
1487;Slovenia
1509;Germany
1521;Germany
1525;Austria
1528;Germany
1529;States
1529;United
1595;States
1595;United
1597;Czech
1597;Republic
1600;Iceland
1619;Germany
1624;Senegal
1644;Zimbabwe
1653;Zimbabwe
1654;Germany
1674;Italy
1674;Venezuela
1693;Germany
1698;Germany
1703;Bosnia-Herzegovina
1723;Norway
1727;Brazil
1728;Germany
1776;Brazil
1844;Germany
1909;Germany
1912;Argentina
1966;Germany
1990;Germany
2033;Germany
2099;Germany
2104;Germany
2118;Czech
2118;Republic
2163;Poland
2189;Croatia
2203;Germany
2216;Germany
2288;Germany
2348;Germany
2360;Germany
2365;Germany
2415;Germany
2431;Croatia
2451;Germany
2568;Austria
2709;Ireland
2709;States
2709;United
2715;Ukraine
2717;Germany
2781;Germany
2799;Gambia
2799;Germany
2799;The
2814;Austria
2843;Austria
2848;Germany
2848;Poland
2876;Uruguay
2883;Switzerland
2898;Argentina
2898;Italy
2909;Switzerland
2917;Israel
2918;Czech
2918;Republic
2928;Argentina
2928;Switzerland
2941;Czech
2941;Republic
2942;Austria
2945;Austria
2949;Austria
2951;Poland
2977;Germany
3003;Belgium
