PlayerID;ClubID;Since
1619;85;1980-07-01
4735;30;1978-07-01
10384;991;1979-08-07
13775;72;1980-07-01
17947;38;1977-07-01
18196;124;1980-07-01
23738;1096;1977-01-01
25343;97;1979-07-01
38191;32828;1978-04-22
39670;3;1972-07-01
39671;200;1980-07-01
42049;5;1977-07-01
50816;6195;1965-07-01
56626;416;1951-07-01
65919;79;1975-07-01
67116;932;1979-01-01
72284;3;1962-07-01
72351;27;1979-03-31
72381;101;1974-07-01
72497;24;1965-07-01
75999;170;1950-07-01
77451;24;1979-07-01
77516;72;1980-07-01
78249;46;1980-07-01
78388;131;1980-07-01
78453;27;1980-07-01
78624;14;1964-07-01
78761;27;1980-07-01
79576;72;1979-12-01
80261;10;1976-07-01
81569;1236;1977-07-01
81612;3;1962-07-01
81630;41;1976-07-01
81651;42;1978-07-01
81722;419;1976-01-01
81737;86;1974-07-01
84063;80;1972-07-01
84087;80;1975-07-01
84093;80;1977-07-01
84173;33;1970-07-01
84562;56;1976-07-01
84649;377;1980-07-01
84688;129;1977-07-01
85459;41;1971-07-01
85556;678;1979-07-01
85590;1184;1978-07-01
85980;33;1980-07-01
87474;79;1980-07-01
87860;3;1979-07-01
89230;294;1960-07-01
89555;418;1977-07-01
89669;5;1967-07-01
89833;86;1980-07-01
89856;86;1978-07-01
89859;15;1979-07-01
89891;24;1974-11-01
89899;23;1975-07-01
89906;41;1971-07-01
89937;16;1976-07-01
89946;18;1972-07-01
89965;42;1975-07-01
90231;170;1980-07-01
91666;141;1976-06-30
91920;370;1978-05-01
92241;36;1979-07-01
92271;114;1980-07-01
92278;114;1979-07-01
94042;41;1974-07-01
94051;15;1979-07-01
94056;41;1968-07-01
94064;41;1965-07-01
94067;328;1978-07-01
94071;41;1968-07-01
94075;409;1977-07-01
94083;41;1970-07-01
94085;41;1952-07-01
94091;56;1977-07-01
94092;299;1977-07-01
94108;41;1960-07-01
94114;41;1963-07-01
94163;938;1968-07-01
94896;409;1978-07-01
94905;170;1979-07-01
95030;33;1979-07-01
95037;33;1979-07-01
95044;79;1975-07-01
95048;42;1980-07-01
95049;24;1978-07-01
95068;33;1973-07-01
95072;79;1980-07-01
95095;56;1970-07-01
95103;321;1968-07-01
95124;33;1968-07-01
95157;18;1971-07-01
