PlayerID;Position
1;Attacking Midfield
1;Left Winger
7;Right Midfield
7;Right-Back
19;Centre-Forward
19;Right Midfield
20;Defensive Midfield
20;Right-Back
24;Defensive Midfield
24;Left-Back
48;Left Winger
48;Right Winger
52;Centre-Back
52;Defensive Midfield
59;Central Midfield
62;Central Midfield
62;Left-Back
85;Right Winger
85;Second Striker
89;Central Midfield
89;Left-Back
92;Left Midfield
92;Right Midfield
94;Centre-Back
94;Defensive Midfield
113;Defensive Midfield
113;Left Midfield
130;Defensive Midfield
130;Sweeper
136;Attacking Midfield
136;Centre-Forward
142;Defensive Midfield
154;Attacking Midfield
154;Right Winger
160;Left Midfield
176;Left-Back
177;Centre-Forward
177;Defensive Midfield
183;Attacking Midfield
197;Attacking Midfield
197;Defensive Midfield
205;Centre-Back
211;Defensive Midfield
211;Left-Back
222;Defensive Midfield
222;Left Midfield
231;Attacking Midfield
231;Right Winger
248;Central Midfield
248;Centre-Back
251;Central Midfield
251;Right Midfield
258;Right Winger
258;Second Striker
259;Left Winger
270;Left-Back
271;Left Midfield
271;Left-Back
275;Right Midfield
275;Right-Back
284;Centre-Back
285;Right-Back
304;Attacking Midfield
306;Attacking Midfield
306;Left Winger
310;Left Midfield
313;Left Winger
317;Right Midfield
317;Right Winger
323;Attacking Midfield
323;Left Midfield
325;Left-Back
325;Right-Back
337;Attacking Midfield
353;Centre-Back
353;Right-Back
356;Left Winger
356;Right Winger
362;Left Midfield
377;Left-Back
377;Right Midfield
379;Right-Back
384;Central Midfield
384;Right Midfield
410;Central Midfield
410;Centre-Back
411;Central Midfield
411;Left-Back
423;Right Midfield
424;Central Midfield
424;Left Midfield
427;Left Midfield
443;Defensive Midfield
443;Sweeper
471;Central Midfield
471;Centre-Back
497;Sweeper
505;Attacking Midfield
505;Centre-Forward
535;Centre-Back
535;Left Midfield
536;Left-Back
536;Right Midfield
541;Sweeper
549;Central Midfield
576;Attacking Midfield
612;Right Midfield
612;Right-Back
614;Attacking Midfield
614;Centre-Back
635;Centre-Forward
635;Defensive Midfield
644;Left Midfield
644;Left-Back
669;Defensive Midfield
669;Sweeper
674;Right Winger
674;Right-Back
679;Left Midfield
680;Centre-Forward
680;Left Winger
692;Left Midfield
692;Right Midfield
698;Right-Back
709;Defensive Midfield
709;Right-Back
735;Left Midfield
735;Right Midfield
742;Defensive Midfield
746;Centre-Back
746;Left Midfield
749;Defensive Midfield
749;Left-Back
752;Central Midfield
766;Right Midfield
766;Right-Back
768;Centre-Back
768;Defensive Midfield
771;Central Midfield
773;Central Midfield
773;Right Midfield
788;Right Midfield
788;Right Winger
792;Left-Back
792;Right-Back
797;Centre-Back
798;Attacking Midfield
798;Centre-Forward
802;Left Midfield
802;Left-Back
822;Centre-Forward
822;Second Striker
862;Defensive Midfield
862;Right-Back
875;Centre-Back
875;Defensive Midfield
881;Attacking Midfield
881;Defensive Midfield
893;Defensive Midfield
906;Defensive Midfield
908;Centre-Forward
908;Left Winger
910;Left Winger
910;Second Striker
919;Central Midfield
951;Centre-Back
951;Right-Back
955;Right Midfield
973;Right Midfield
975;Attacking Midfield
995;Right Midfield
997;Defensive Midfield
997;Left-Back
999;Right-Back
1000;Left-Back
1000;Right-Back
1007;Left Winger
1007;Right Winger
1041;Centre-Forward
1134;Defensive Midfield
1134;Left-Back
1148;Attacking Midfield
1148;Centre-Forward
1163;Centre-Forward
1163;Left Winger
1179;Defensive Midfield
1179;Left Midfield
1186;Defensive Midfield
1186;Left-Back
1243;Left-Back
1260;Left Winger
1260;Right Winger
1273;Centre-Back
1273;Defensive Midfield
1278;Centre-Back
1278;Left Midfield
1281;Left-Back
1301;Left-Back
1317;Left Winger
1327;Centre-Back
1330;Central Midfield
1356;Centre-Forward
1356;Left Midfield
1390;Left-Back
1390;Right-Back
1419;Right-Back
1419;Sweeper
1426;Right Winger
1426;Second Striker
1430;Centre-Back
1432;Defensive Midfield
1473;Centre-Back
1473;Sweeper
1490;Central Midfield
1490;Left Midfield
1496;Defensive Midfield
1496;Left-Back
1521;Attacking Midfield
1521;Left Midfield
1579;Defensive Midfield
1635;Centre-Forward
1774;Second Striker
1844;Centre-Back
1844;Right Midfield
1861;Centre-Back
1871;Centre-Back
1871;Right-Back
1892;Defensive Midfield
1892;Left Midfield
1895;Attacking Midfield
1922;Left Midfield
1922;Left-Back
2012;Left Midfield
2021;Central Midfield
2068;Left-Back
2068;Right Midfield
2074;Central Midfield
2099;Defensive Midfield
2166;Centre-Forward
2166;Left Midfield
2183;Right Midfield
2211;Right Midfield
2234;Left Midfield
2234;Right Midfield
2282;Centre-Back
2288;Centre-Back
2288;Defensive Midfield
2363;Right Midfield
2363;Right Winger
2478;Central Midfield
2478;Defensive Midfield
2499;Centre-Back
2535;Right Midfield
2535;Right-Back
2574;Right Midfield
2574;Right-Back
2711;Second Striker
2715;Attacking Midfield
2742;Central Midfield
2742;Left Winger
2867;Central Midfield
2867;Left Midfield
2877;Left Winger
2877;Second Striker
2917;Centre-Forward
2925;Central Midfield
2925;Right Midfield
2927;Centre-Back
2928;Defensive Midfield
2930;Defensive Midfield
2945;Defensive Midfield
2947;Left Midfield
2947;Right Midfield
2949;Centre-Back
2949;Left-Back
2953;Defensive Midfield
2977;Attacking Midfield
2977;Defensive Midfield
2980;Right-Back
2981;Centre-Back
2981;Defensive Midfield
2983;Centre-Forward
2983;Defensive Midfield
3060;Defensive Midfield
3060;Right-Back
3065;Left Midfield
3065;Right-Back
3073;Centre-Back
3112;Second Striker
3113;Centre-Back
3116;Left Winger
3129;Defensive Midfield
3129;Sweeper
3133;Attacking Midfield
3133;Second Striker
3142;Second Striker
3145;Left Winger
3145;Second Striker
3152;Centre-Back
3152;Left-Back
3156;Left-Back
3156;Right-Back
3163;Attacking Midfield
3173;Attacking Midfield
3173;Left Midfield
3183;Central Midfield
3186;Attacking Midfield
3188;Left Winger
3188;Right Winger
3207;Left Winger
3207;Second Striker
3210;Right-Back
3210;Sweeper
3218;Central Midfield
3218;Left Midfield
3221;Defensive Midfield
3236;Left Winger
3236;Right Winger
3237;Left Midfield
3237;Left Winger
3240;Right Winger
3240;Second Striker
3261;Attacking Midfield
3261;Right Midfield
3274;Central Midfield
3274;Centre-Back
3276;Left Winger
3276;Right Winger
3280;Left Midfield
3280;Left-Back
3283;Left-Back
3284;Centre-Forward
3284;Right Midfield
3288;Left-Back
3312;Right-Back
3335;Central Midfield
3337;Left Winger
3337;Right Winger
3358;Central Midfield
3375;Centre-Forward
3375;Second Striker
3400;Left Winger
3400;Left-Back
3411;Left Winger
3411;Right Winger
3413;Attacking Midfield
3413;Left Winger
3416;Central Midfield
3418;Centre-Forward
3418;Left Winger
3449;Right-Back
3451;Defensive Midfield
3458;Right Winger
3458;Second Striker
3467;Left Winger
3474;Centre-Forward
3474;Right Midfield
3475;Attacking Midfield
3475;Defensive Midfield
3485;Central Midfield
3508;Left Midfield
3515;Central Midfield
3519;Right Midfield
3525;Centre-Back
3530;Central Midfield
3568;Centre-Back
3573;Left-Back
3585;Left Winger
3585;Right Winger
3601;Central Midfield
3601;Defensive Midfield
3606;Left Midfield
3621;Left Winger
3624;Central Midfield
3648;Right-Back
3654;Centre-Back
3683;Attacking Midfield
3683;Centre-Forward
3686;Left-Back
3691;Central Midfield
3727;Defensive Midfield
3747;Central Midfield
3747;Left-Back
3753;Central Midfield
3753;Left Midfield
3765;Centre-Back
3765;Defensive Midfield
3775;Centre-Back
3784;Central Midfield
3784;Centre-Back
3785;Defensive Midfield
3789;Defensive Midfield
3789;Left-Back
3809;Central Midfield
3811;Centre-Back
3814;Central Midfield
3814;Defensive Midfield
3836;Attacking Midfield
3842;Centre-Back
3842;Right Winger
3865;Left Midfield
3865;Right Midfield
3877;Right Midfield
3878;Central Midfield
3878;Centre-Back
3887;Attacking Midfield
