PlayerID;CompetitionID;Games;Goals;Assists;YellowCards;RedCards
20;L1;0;0;0;0;0
31;L1;0;0;0;0;0
114;L1;0;0;0;0;0
122;L1;0;0;0;0;0
126;L1;33;5;0;5;1
130;L1;0;0;0;0;0
135;L1;29;2;1;5;2
154;L1;9;0;0;0;0
196;L1;0;0;0;0;0
197;L1;0;0;0;0;0
206;L1;0;0;0;0;0
209;L1;25;0;0;7;0
216;L1;0;0;0;0;0
222;L1;34;0;5;2;0
270;L1;0;0;0;0;0
310;L1;15;1;1;4;1
323;L1;0;0;0;0;0
328;L1;0;0;0;0;0
356;L1;0;0;0;0;0
360;L1;0;0;0;0;0
361;L1;0;0;0;0;0
370;L1;0;0;0;0;0
377;L1;0;0;0;0;0
387;L1;0;0;0;0;0
452;CL;1;0;0;0;0
452;L1;0;0;0;0;0
497;L1;0;0;0;0;0
615;CL;0;0;0;0;0
615;L1;0;0;0;0;0
654;L1;5;0;0;0;0
660;CL;4;0;0;0;0
678;L1;0;0;0;0;0
679;L1;0;0;0;0;0
680;L1;0;0;0;0;0
727;L1;0;0;0;0;0
749;L1;0;0;0;0;0
874;L1;8;0;0;0;0
875;L1;0;0;0;0;0
934;L1;0;0;0;0;0
959;L1;6;0;0;0;0
973;L1;0;0;0;0;0
1092;L1;0;0;0;0;0
1202;CL;1;0;0;0;0
1285;L1;4;0;0;0;0
1417;L1;0;0;0;0;0
1430;CL;1;0;0;0;0
1456;L1;27;8;7;2;0
1521;L1;0;0;0;0;0
1528;L1;0;0;0;0;0
1619;L1;0;0;0;0;0
1909;L1;7;0;0;0;0
2216;L1;9;0;1;1;0
2717;L1;1;0;0;0;0
2945;CL;4;1;0;0;0
2977;L1;23;7;5;8;0
3129;CL;6;0;0;0;0
3152;CL;4;0;0;0;0
3283;GB1;34;0;0;2;0
3288;GB1;2;0;0;0;0
3289;CL;10;0;0;1;0
3298;GB1;33;0;0;5;1
3315;GB1;1;0;0;0;0
3396;GB1;40;6;0;6;0
