TrainerID;ClubID;Since
2;71;2003-03-10
3;200;2018-09-17
4;985;1986-11-06
6;116;2009-10-12
7;204;2010-02-21
9;195;2010-05-25
10;66;2010-03-23
13;413;1998-06-22
15;91;2005-07-01
16;30;2004-11-17
19;25;2012-01-01
20;97;1998-09-14
21;18;1998-11-10
23;66;2004-07-01
24;449;2001-11-07
34;44;1990-11-13
38;20;2013-08-14
40;114;2004-06-08
42;23;2007-03-20
44;141;1984-07-19
49;80;2001-07-01
50;10848;2001-07-24
55;52;2000-10-16
59;56;2009-09-12
62;141;2007-08-08
65;60;1991-07-01
67;533;2000-07-01
70;260;2012-07-01
71;299;2008-12-23
72;38;2016-03-14
73;56;2003-09-23
75;69;2000-10-31
76;129;2007-09-25
78;1;2015-07-01
81;44;1986-01-01
83;14;2001-03-12
84;57;2004-11-03
85;141;2010-10-21
88;10848;1996-07-01
90;27;2017-10-09
91;170;2002-07-01
92;27;2007-01-31
94;113;1997-11-30
97;14;1995-07-01
100;113;2007-09-21
102;409;2005-07-01
115;105;2006-10-06
118;31;2015-10-08
124;4795;2009-04-26
126;38;2014-01-01
128;413;2009-03-23
129;237;2001-07-01
132;5608;2002-11-13
134;85;2003-04-03
140;35;2014-12-16
141;52;2001-06-25
144;66;2007-03-23
149;931;2014-02-14
155;669;2002-12-22
158;2;2017-01-03
166;91;2016-10-16
172;113;2007-04-11
173;80;2013-04-08
176;289;2011-12-05
179;610;1997-07-01
181;36;1993-07-01
183;129;2012-12-18
184;30;2005-08-15
185;10;1992-07-01
190;35;2002-08-20
196;23826;2018-07-09
197;48;2010-11-22
201;44;2012-02-19
203;23;2006-11-14
206;95;2007-07-01
207;16;2006-12-19
208;350;2007-05-22
213;826;2007-07-01
219;79;2004-07-01
224;42;2016-01-01
225;21;2008-07-01
232;41;1990-01-05
235;92;1998-07-01
239;85;1996-10-13
243;429;2005-01-18
246;448;2009-07-01
252;97;1996-07-01
253;141;2017-12-22
258;40;2010-05-25
261;41;2003-10-23
262;409;2006-06-01
269;24;2015-07-01
271;187;2000-07-01
272;15;2000-11-14
273;30;2014-07-01
275;89;2002-11-06
277;712;2016-08-24
279;24;1983-10-30
280;11;1996-10-01
285;30;2012-07-01
286;25;2016-04-12
296;663;2008-06-10
300;1091;2013-07-01
301;244;2007-09-25
302;18;2008-10-18
303;23;2002-10-25
304;85;2009-07-01
305;89;2004-07-01
306;18;2016-12-21
307;328;2011-01-07
309;23;2006-10-15
316;1;2004-04-24
317;12460;2015-07-06
320;6764;2012-10-18
321;3899;2009-05-07
323;105;2000-05-27
324;48;2017-08-29
325;107;2000-12-01
326;299;2010-06-04
327;113;2010-10-12
328;66;2005-04-11
334;60;2011-07-01
335;14;2018-02-27
337;105;2002-06-01
340;129;2014-07-01
342;57;2005-07-01
347;21;2008-04-22
349;94;1999-03-09
350;15;2003-02-16
356;95;2009-09-14
357;4;2013-01-01
359;1;2006-07-01
365;10;2018-12-10
370;38;1992-01-24
377;2;2000-10-01
378;72;2010-07-01
383;279;2013-12-18
385;35;2002-12-29
386;318;2013-09-18
396;299;2008-07-01
401;299;2013-04-24
402;1096;2005-02-07
416;107;2008-07-01
419;30;2017-05-18
422;48;2011-11-06
425;113;1997-05-15
429;10848;2003-07-01
431;167;1998-07-01
433;56;2018-04-08
434;349;2018-02-16
435;91;2005-12-19
437;4795;2004-07-01
439;29;2016-06-14
440;1;1995-03-05
442;35;2017-07-01
445;29;2017-11-30
446;405;2003-05-20
447;405;2016-10-12
448;337;2017-04-18
449;762;2004-09-07
450;379;2017-11-07
451;289;2017-11-19
453;762;2008-01-16
454;990;2004-05-04
455;641;2009-10-26
456;931;2018-11-14
457;8780;2015-08-04
458;1039;2018-05-18
459;543;2004-12-08
460;405;2010-09-09
461;762;1999-09-01
462;1035;2012-03-02
463;712;2018-01-04
472;321;2016-08-22
474;79;2008-11-23
476;94;2008-01-01
478;21;2016-03-02
479;57;2012-09-17
480;127;2015-07-01
482;113;2010-07-01
484;21;2003-07-01
485;21;2004-09-20
487;91;2006-07-01
489;299;2014-02-16
495;14;2003-07-01
496;1007;2010-01-07
497;468;2003-07-01
498;306;2015-10-21
499;468;2005-07-01
500;931;2011-06-07
501;317;2011-07-01
502;41;2013-09-25
505;1180;2013-06-14
506;631;2009-02-11
509;8689;1985-07-01
510;468;2007-12-18
512;3057;2012-07-01
513;2049;2005-07-01
514;416;2011-03-09
515;416;2008-12-08
516;156;2017-08-08
517;46;2017-06-09
518;418;2006-07-06
519;130;2011-04-05
520;410;2005-07-01
521;1049;2016-10-03
522;1025;2010-09-01
523;6195;2018-07-01
524;964;2017-07-01
525;506;2001-07-01
526;130;2008-03-11
527;130;2004-07-01
528;410;2016-10-03
529;410;2009-12-22
